figure_id,filename,title,report_section,main_text_or_appendix,source_scenarios,source_files,key_message,recommended_width,caption_file,validation_status
FIGURE_N3,figure_n3,CO₂ and operational benefit,Nuclear,main,,,Emissions and OPEX across sweep,\textwidth,captions/figure_n3.txt,generated
FIGURE_N4,figure_n4,Marginal benefit,Nuclear,appendix,,,No clear knee point,\textwidth,captions/figure_n4.txt,generated
FIGURE_N5,figure_n5,Indicative economic comparison,Nuclear,appendix,,,Period-equivalent costs,\textwidth,captions/figure_n5.txt,generated
FIGURE_T1,figure_t1,Reactor technology cost comparison,Nuclear,main,,,SMR/MSR/LFR stacked costs,\textwidth,captions/figure_t1.txt,generated
FIGURE_T2,figure_t2,Reactor operational comparison,Nuclear,appendix,,,Near-identical dispatch under harmonised assumptions,\textwidth,captions/figure_t2.txt,generated
FIGURE_A1,figure_a1,Load shedding time series,Adequacy,appendix,,,28-day decarbonised comparison,\textwidth,captions/figure_a1.txt,generated
FIGURE_A2,figure_a2,Cumulative EENS,Adequacy,main,,,SMR reduces EENS by 751 GWh (40.8%),\textwidth,captions/figure_a2.txt,generated
FIGURE_A3,figure_a3,Adequacy headline comparison,Adequacy,main,,,EENS −40.8%; peak shedding −4.05 GW,\textwidth,captions/figure_a3.txt,generated
FIGURE_A4,figure_a4,Critical-event generation stack,Adequacy,appendix,,,48–72 h window around worst event,\textwidth,captions/figure_a4.txt,generated
FIGURE_F1,figure_f1,Flexible versus limited-flexibility SMR dispatch,Sensitivity,appendix,,,Core-event nuclear dispatch,\textwidth,captions/figure_f1.txt,generated
FIGURE_F2,figure_f2,Flexibility impacts,Sensitivity,main,,,EENS unchanged; curtailment increased,\textwidth,captions/figure_f2.txt,generated
FIGURE_F3,figure_f3,Constraint activity,Sensitivity,appendix,,,Binding min-output and ramp constraints,\textwidth,captions/figure_f3.txt,generated
FIGURE_V1,figure_v1,VOLL sensitivity,Appendix,appendix,,,VOLL changes monetisation not physical adequacy,\textwidth,captions/figure_v1.txt,generated
FIGURE_G1,figure_g1,Adequacy comparison,Validation,main,,,Matching EENS for decarbonised cases,\textwidth,captions/figure_g1.txt,generated
FIGURE_G2,figure_g2,KPI parity plot,Validation,appendix,,,Near 1:1 for harmonised KPIs,\textwidth,captions/figure_g2.txt,generated
FIGURE_G3,figure_g3,CO₂ comparison,Validation,appendix,,,Small cross-model CO₂ differences,\textwidth,captions/figure_g3.txt,generated
